,Close,ma7,ma25,after_close_price,ma_action,cash
3076,2764.76,2771.84,2785.9112,2756.3,1,15264.772917066772
3079,2756.3,2757.6228571428574,2775.8107999999997,2756.69,1,15266.932791332147
3118,2756.69,2757.9314285714286,2765.1164000000003,2800.29,1,15508.395657922905
3124,2800.29,2796.1771428571424,2776.5903999999996,2678.82,-1,16181.113419500418
3133,2678.82,2686.9871428571428,2746.6748,2687.6,1,16234.148030195876
3177,2687.6,2682.2157142857145,2694.9032,2661.28,1,16075.165005878735
3185,2661.28,2665.04,2675.824,2681.26,1,16195.851967347447
3201,2681.26,2676.037142857143,2661.8632000000002,2598.18,-1,16697.6874407619
3210,2598.18,2595.595714285714,2639.3032000000003,2611.49,1,16783.226633518574
3227,2611.49,2612.348571428571,2610.5192,2627.59,-1,16679.756986382396
3231,2627.59,2634.4857142857145,2616.4776,2653.72,-1,16513.885579483234
3256,2653.72,2654.785714285714,2619.2764,2677.44,-1,16366.27793212581
3282,2677.44,2679.8971428571426,2686.6676,2768.0,1,16919.84033857873
3287,2768.0,2764.3728571428574,2706.9264000000003,2836.11,-1,16503.507128513487
3315,2836.11,2838.7871428571425,2834.8196,2769.0,-1,16894.024549697624
3320,2769.0,2785.0185714285717,2822.3564,2877.75,1,17557.5222635942
3327,2877.75,2890.1028571428574,2830.6008,2950.52,-1,17113.543149660833
3342,2950.52,2941.0257142857145,2947.0879999999997,2960.79,1,17173.110984532996
3346,2960.79,2963.442857142857,2950.4647999999997,2939.11,-1,17298.85885795349
3355,2939.11,2942.738571428571,2947.3048000000003,2984.17,1,17564.070632994026
3361,2984.17,2985.6800000000003,2959.5563999999995,3008.34,-1,17421.812119839793
3379,3008.34,3021.9785714285713,3003.85,3021.97,-1,17342.87845569498
3398,3021.97,3017.962857142857,3008.0348,3012.29,-1,17398.431311431843
3416,3012.29,3020.7628571428572,3014.1524,3051.68,-1,17170.921938377687
3423,3051.68,3049.661428571428,3028.3663999999994,2980.76,-1,17569.968294440492
3429,2980.76,2989.6057142857144,3027.3684,3006.32,1,17720.63067235951
3442,3006.32,3002.9385714285713,3011.2603999999997,3017.72,1,17787.82750758161
3467,3017.72,3021.6885714285713,3026.0852,3008.31,1,17732.36064622723
3474,3008.31,3003.445714285714,3014.9755999999998,3017.36,1,17785.705502258807
3480,3017.36,3019.3114285714287,3012.8891999999996,3003.15,-1,17869.46576791723
3483,3003.15,3005.5385714285717,3013.32,3015.95,1,17945.6288506235
3494,3015.95,3014.9399999999996,3008.9931999999994,3006.57,-1,18001.442109669188
3500,3006.57,3005.7714285714287,3012.3320000000003,3015.8,1,18056.705519691986
3511,3015.8,3014.312857142857,3010.9067999999997,2973.17,-1,18311.9470331559
3517,2973.17,2973.378571428571,3002.5024,2986.22,1,18392.32283029588
3532,2986.22,2988.39,2997.9872000000005,2992.38,1,18430.26267017192
3541,2992.38,2985.5714285714284,2994.6216000000004,3050.93,1,18790.87592094173
3552,3050.93,3054.1985714285715,3017.22,3077.34,-1,18628.215016538128
3597,3077.34,3073.4157142857143,3068.2072000000003,3058.51,-1,18742.19959047582
3601,3058.51,3061.3985714285714,3068.5664,3077.34,1,18857.587677579886
3606,3077.34,3083.0171428571425,3070.5432,3118.44,-1,18605.731576678285
3612,3118.44,3112.9714285714285,3094.0408,3154.45,-1,18390.883000442675
3626,3154.45,3156.0142857142855,3135.9492,3193.78,-1,18161.58362070693
3674,3193.78,3207.512857142857,3177.9744,3118.77,-1,18588.13159438991
3683,3118.77,3118.71,3155.3144,3093.79,1,18439.248692724235
3705,3093.79,3088.9985714285717,3074.6636000000003,3052.33,-1,18686.353780917147
3710,3052.33,3053.1071428571427,3077.2724000000003,3068.1,1,18782.897666776495
3723,3068.1,3063.6028571428574,3051.972,3121.46,-1,18456.22792996896
3732,3121.46,3111.6971428571424,3070.7192,3128.14,-1,18416.731155199403
3747,3128.14,3118.23,3120.0227999999997,3117.34,1,18353.146821865168
3749,3117.34,3125.4757142857147,3122.7344,3071.74,-1,18621.614007054162
3755,3071.74,3067.941428571429,3099.6092000000003,3080.0,1,18671.688079631356
3762,3080.0,3085.2057142857147,3077.7008,3078.45,-1,18681.08454603507
3766,3078.45,3068.15,3078.6919999999996,3095.86,1,18786.734363945536
3772,3095.86,3099.2057142857143,3087.5316,3096.08,-1,18785.39932891163
3779,3096.08,3082.0299999999997,3091.6876,3104.11,1,18834.12118254951
3782,3104.11,3108.1228571428574,3094.9012,3126.52,-1,18698.148985784275
