,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value
2022/1/2 15:00,BTC,0,47226.83,0,47226.83,10027.71023,0,0,0.277102257,47226.83,1.954800962,10027.71023
2022/1/2 15:15,BTC,0,47226.83,0,47226.83,10027.71023,0,0,0.277102257,47147.81,1.784210042,10027.71023
2022/1/2 15:30,BTC,0,47226.83,0,47226.83,10027.71023,0,0,0.277102257,47086.49,1.651830452,10027.71023
2022/1/2 15:45,BTC,0,47226.83,0,47226.83,10027.71023,0,0,0.277102257,47119.6,1.723309386,10027.71023
2022/1/2 16:00,BTC,0,47226.83,0,47226.83,10027.71023,0,0,0.277102257,47132.49,1.751136733,10027.71023
2022/1/2 16:15,BTC,1,47183.5,0.212483277,47183.5,0,0,0,0.277102257,47183.5,1.861258763,10027.71023
2022/1/2 16:30,BTC,1,47183.5,0.212483277,47183.5,0,0,0,0.277102257,47227,1.955167964,10027.71023
2022/1/2 16:45,BTC,0,47221.99,0.212483277,47221.99,10029.86961,4.164928052,0.041542497,0.298696117,47221.97,1.944309038,10029.86961
2022/1/2 17:00,BTC,0,47221.99,0.212483277,47221.99,10029.86961,0,0,0.298696117,47350.02,2.2207475,10029.86961
2022/1/2 17:15,BTC,0,47221.99,0.212483277,47221.99,10029.86961,0,0,0.298696117,47314.26,2.143547661,10029.86961
2022/1/2 17:30,BTC,0,47272.47,0,47272.47,10029.86961,0,0,0.298696117,47272.47,2.053330063,10029.86961
2022/1/2 17:45,BTC,0,47272.47,0,47272.47,10029.86961,0,0,0.298696117,47284.35,2.07897699,10029.86961
2022/1/2 18:00,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47305.54,2.124722644,10029.86961
2022/1/2 18:15,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47262.08,2.030899797,10029.86961
2022/1/2 18:30,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47213.57,1.926174847,10029.86961
2022/1/2 18:45,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47277.8,2.064836639,10029.86961
2022/1/2 19:00,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47332.85,2.183680351,10029.86961
2022/1/2 19:15,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47203.63,1.904716055,10029.86961
2022/1/2 19:30,BTC,0,47305.54,0,47305.54,10029.86961,0,0,0.298696117,47099.98,1.680953099,10029.86961
2022/1/2 19:45,BTC,0,47095.52,0,47095.52,10029.86961,0,0,0.298696117,47095.52,1.671324707,10029.86961
2022/1/2 20:00,BTC,0,47095.52,0,47095.52,10029.86961,0,0,0.298696117,47153.12,1.795673441,10029.86961
2022/1/2 20:15,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47358.92,2.239961106,10029.86961
2022/1/2 20:30,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47241.08,1.985564321,10029.86961
2022/1/2 20:45,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47141.87,1.771386579,10029.86961
2022/1/2 21:00,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47186.11,1.866893315,10029.86961
2022/1/2 21:15,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47118.66,1.721280084,10029.86961
2022/1/2 21:30,BTC,0,47358.92,0,47358.92,10029.86961,0,0,0.298696117,47137.32,1.761563893,10029.86961
2022/1/2 21:45,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47200.8,1.89860656,10029.86961
2022/1/2 22:00,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47111.39,1.705585374,10029.86961
2022/1/2 22:15,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47149.98,1.788894708,10029.86961
2022/1/2 22:30,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47084.82,1.648225202,10029.86961
2022/1/2 22:45,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47232.17,1.966329126,10029.86961
2022/1/2 23:00,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47148.89,1.786541581,10029.86961
2022/1/2 23:15,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47287.58,2.085950018,10029.86961
2022/1/2 23:30,BTC,0,47200.8,0,47200.8,10029.86961,0,0,0.298696117,47317.08,2.149635568,10029.86961
2022/1/2 23:45,BTC,0,47361.01,0,47361.01,10029.86961,0,0,0.298696117,47361.01,2.244473066,10029.86961
2022/1/3 0:00,BTC,1,47584.23,0.210739223,47584.23,0,0,0,0.298696117,47584.23,2.726367588,10029.86961
2022/1/3 0:15,BTC,1,47584.23,0.210739223,47584.23,0,0,0,0.298696117,47660,2.889942303,10029.86961
2022/1/3 0:30,BTC,1,47584.23,0.210739223,47584.23,0,0,0,0.298696117,47815.07,3.224712411,10029.86961
2022/1/3 0:45,BTC,0,47601.46,0.210739223,47601.46,10027.48208,-0.381561065,-0.003805009,0.274820767,47542.69,2.636689699,10027.48208
2022/1/3 1:00,BTC,0,47601.46,0.210739223,47601.46,10027.48208,0,0,0.274820767,47568.55,2.692517099,10027.48208
2022/1/3 1:15,BTC,0,47601.46,0.210739223,47601.46,10027.48208,0,0,0.274820767,47466.74,2.472726393,10027.48208
2022/1/3 1:30,BTC,0,47350.49,0,47350.49,10027.48208,0,0,0.274820767,47350.49,2.221762151,10027.48208
2022/1/3 1:45,BTC,0,47257.11,0,47257.11,10027.48208,0,0,0.274820767,47257.11,2.020170401,10027.48208
2022/1/3 2:00,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46738.99,0.901636265,10027.48208
2022/1/3 2:15,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47067.95,1.611805703,10027.48208
2022/1/3 2:30,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47163.06,1.817132233,10027.48208
2022/1/3 2:45,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47050.72,1.574609025,10027.48208
2022/1/3 3:00,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46897.29,1.243379401,10027.48208
2022/1/3 3:15,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46930.34,1.314728805,10027.48208
2022/1/3 3:30,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46928.97,1.311771205,10027.48208
2022/1/3 3:45,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47019.26,1.506692164,10027.48208
2022/1/3 4:00,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46928.89,1.311598499,10027.48208
2022/1/3 4:15,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47011.07,1.489011328,10027.48208
2022/1/3 4:30,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,46921.9,1.296508262,10027.48208
2022/1/3 4:45,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47109.7,1.701936947,10027.48208
2022/1/3 5:00,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47073.05,1.622815748,10027.48208
2022/1/3 5:15,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47006.93,1.480073763,10027.48208
2022/1/3 5:30,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47102.8,1.687041005,10027.48208
2022/1/3 5:45,BTC,0,46738.99,0,46738.99,10027.48208,0,0,0.274820767,47145.94,1.780173026,10027.48208
2022/1/3 6:00,BTC,0,47225.3,0,47225.3,10027.48208,0,0,0.274820767,47225.3,1.951497949,10027.48208
2022/1/3 6:15,BTC,0,47225.3,0,47225.3,10027.48208,0,0,0.274820767,47286.92,2.084525189,10027.48208
2022/1/3 6:30,BTC,0,47225.3,0,47225.3,10027.48208,0,0,0.274820767,47284.85,2.080056406,10027.48208
2022/1/3 6:45,BTC,0,47225.3,0,47225.3,10027.48208,0,0,0.274820767,47333.68,2.185472182,10027.48208
2022/1/3 7:00,BTC,0,47388.43,0,47388.43,10027.48208,0,0,0.274820767,47388.43,2.303668244,10027.48208
2022/1/3 7:15,BTC,0,47388.43,0,47388.43,10027.48208,0,0,0.274820767,47349.99,2.220682735,10027.48208
2022/1/3 7:30,BTC,0,47388.43,0,47388.43,10027.48208,0,0,0.274820767,47270.75,2.049616872,10027.48208
2022/1/3 7:45,BTC,-1,47177.64,0.212504834,47177.64,0,0,0,0.274820767,47177.64,1.848608007,10027.48208
2022/1/3 8:00,BTC,-1,47177.64,0.212504834,47177.64,0,0,0,0.274820767,47077.86,1.63319973,10027.48208
