,portfolio,position,tradeprice,alltradeqty,askprice,cash,pnl,roi(%),tot_roi(%),portfolio_price,basic_return(%),pos_value,same_percentage
2022-02-06 02:15:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3014.39,-18.311206501738447,21895.203321615776,0.0272
2022-02-06 02:30:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3019.73,-18.166494584142935,21895.203321615776,0.9968
2022-02-06 02:45:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3009.6,-18.441013633813817,21895.203321615776,-1.2791
2022-02-06 03:00:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3015.49,-18.281396930698175,21895.203321615776,1.0287
2022-02-06 03:15:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3015.59,-18.278686969694505,21895.203321615776,0.014
2022-02-06 03:30:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3013.14,-18.34508101428421,21895.203321615776,-0.1923
2022-02-06 03:45:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3015.45,-18.28248091509964,21895.203321615776,0.297
2022-02-06 04:00:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3003.01,-18.619600063955076,21895.203321615776,-0.7168
2022-02-06 04:15:00,ETH ,1,2980.76,7.34257210922286,2980.76,21895.203321615776,0.0,0.0,118.95203321615777,3000.36,-18.6914140305521,21895.203321615776,-0.225
2022-02-06 04:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,-8.829648553359547,-0.04034299977187026,118.7761559173377,3006.32,-18.529900354733893,21877.61559173377,0.7405
2022-02-06 04:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3015.85,-18.271641071084993,21877.61559173377,1.4273
2022-02-06 05:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3012.61,-18.359443807603608,21877.61559173377,-0.4318
2022-02-06 05:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3022.32,-18.09630659414811,21877.61559173377,0.97
2022-02-06 05:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3018.03,-18.21256392120517,21877.61559173377,-0.3809
2022-02-06 05:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3022.64,-18.087634718936403,21877.61559173377,0.7572
2022-02-06 06:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3028.16,-17.938044871534306,21877.61559173377,0.5538
2022-02-06 06:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3030.26,-17.881135690457413,21877.61559173377,0.2691
2022-02-06 06:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3026.36,-17.986824169600197,21877.61559173377,-1.6571
2022-02-06 06:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3024.3,-18.04264936627562,21877.61559173377,-0.2566
2022-02-06 07:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3021.28,-18.124490188586183,21877.61559173377,-0.558
2022-02-06 07:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3017.63,-18.22340376521982,21877.61559173377,-0.5311
2022-02-06 07:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3012.75,-18.355649862198486,21877.61559173377,-0.6624
2022-02-06 07:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3014.32,-18.313103474441,21877.61559173377,0.1466
2022-02-06 08:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3023.0,-18.077878859323217,21877.61559173377,0.8138
2022-02-06 08:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3018.38,-18.20307905769236,21877.61559173377,-0.4431
2022-02-06 08:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3014.86,-18.29846968502123,21877.61559173377,-0.4287
2022-02-06 08:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3024.27,-18.04346235457672,21877.61559173377,0.8615
2022-02-06 09:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3028.1,-17.9396708481365,21877.61559173377,0.5413
2022-02-06 09:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3025.1,-18.020969678246335,21877.61559173377,-0.2795
2022-02-06 09:30:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3025.05,-18.02232465874816,21877.61559173377,-0.0074
2022-02-06 09:45:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3028.12,-17.939128855935767,21877.61559173377,0.656
2022-02-06 10:00:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3031.24,-17.854578072621543,21877.61559173377,0.6795
2022-02-06 10:15:00,ETH ,1,3006.32,7.274296996160448,3006.32,21877.61559173377,0.0,0.0,118.7761559173377,3022.35,-18.095493605847018,21877.61559173377,-1.2109
