,price,qty
622,5.393,1.0
623,5.4,14621.08
624,5.413,1058.42
625,5.418,3.76
626,5.42,402.96
627,5.421,188.79
628,5.428,191.03
629,5.43,914.02
630,5.431,234.85
631,5.432,186.14
632,5.44,10.84
633,5.447,53.28
634,5.448,110.16
635,5.45,2942.36
636,5.455,3.66
637,5.46,16.1
638,5.462,15.25
639,5.466,1097.8
640,5.47,434.5
641,5.475,200.0
642,5.48,2985.77
643,5.487,1000.0
644,5.489,137.94
645,5.49,478.65
646,5.493,9.03
647,5.495,58.34
648,5.498,49.9
649,5.499,1672.4
650,5.5,21588.01
651,5.501,10.0
652,5.504,401.06
653,5.505,4.4
654,5.506,2.73
655,5.51,84.85
656,5.512,400.0
657,5.513,10.81
658,5.522,346.64
659,5.529,1.3
660,5.53,1.81
661,5.531,50.0
662,5.534,4518.22
663,5.54,207.64
664,5.548,3.37
665,5.55,1193.83
666,5.555,972.16
667,5.56,106.61
668,5.57,263.45
669,5.575,8.03
670,5.58,6913.31
671,5.583,6.68
672,5.59,449.31
673,5.593,1.0
674,5.594,652.15
675,5.6,6110.0
676,5.603,32.97
677,5.61,168.14
678,5.611,4.91
679,5.62,2166.04
680,5.621,15.06
681,5.623,268.98
682,5.624,2.73
683,5.625,124.88
684,5.628,3.83
685,5.633,7.12
686,5.634,17.71
687,5.64,6.28
688,5.642,477.63
689,5.644,5.15
690,5.647,124.89
691,5.65,125.96
692,5.652,1322.92
693,5.654,1.0
694,5.658,8.03
695,5.66,14.02
696,5.666,123.66
697,5.679,494.0
698,5.685,3.52
699,5.689,150.0
700,5.69,206.42
701,5.693,1.0
702,5.697,15.9
703,5.699,69.51
704,5.7,328.02
705,5.707,44.0
706,5.71,807.21
707,5.715,17.5
708,5.732,1.19
709,5.74,320.19
710,5.742,8.03
711,5.75,462.04
712,5.756,13.33
713,5.77,401.08
714,5.776,2000.0
715,5.777,1519.14
716,5.778,2000.0
717,5.779,1500.0
718,5.78,2064.4
719,5.79,1066.41
720,5.799,977.22
721,5.8,5693.4
722,5.818,14.56
723,5.82,88.41
724,5.828,8.03
725,5.829,150.1
726,5.831,18.74
727,5.833,2.26
728,5.834,21.24
729,5.84,0.86
730,5.85,1778.46
731,5.854,15.09
732,5.858,3688.0
733,5.86,109.61
734,5.861,0.91
735,5.863,1.85
736,5.869,32.25
737,5.87,23.72
738,5.876,25.0
739,5.88,70.89
740,5.888,60.53
741,5.89,94.45
742,5.9,2935.94
743,5.902,331.25
744,5.91,17.71
745,5.912,1.62
746,5.914,8.03
747,5.92,450.1
748,5.924,123.9
749,5.933,889.89
750,5.95,3356.18
751,5.97,340.14
752,5.98,293.27
753,5.985,35.0
754,5.987,234.73
755,5.99,183.12
756,5.991,9.34
757,5.995,60.21
758,5.999,182.16
759,6.0,26801.16
760,6.003,8.03
761,6.012,1381.08
762,6.06,4.96
763,6.066,2.47
764,6.068,8.24
765,6.085,62.28
766,6.09,65.88
767,6.092,8.03
768,6.095,2470.25
769,6.1,493.82
770,6.11,10.0
771,6.12,9.85
772,6.13,96.67
773,6.135,3.83
774,6.17,81.67
775,6.172,207.18
776,6.183,8.03
777,6.19,95.0
778,6.2,1196.7
779,6.21,10.0
780,6.222,153.84
781,6.224,1.0
782,6.235,4.05
783,6.24,60.0
784,6.25,92.06
