,id,price,qty,qty_1,qty_2,quoteQty,quoteQty_1,quoteQty_2,isBuyerMaker,time
251,24905637,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
252,24905638,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
253,24905639,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
254,24905640,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
255,24905641,0.773,89.35,89.4,89.0,69.06755,69.07,69.0,False,1718068394373
256,24905642,0.773,527.73,527.7,528.0,407.93529,407.94,408.0,True,1718068394557
257,24905643,0.773,993.03,993.0,993.0,767.61219,767.61,768.0,True,1718068394557
258,24905644,0.773,1266.05,1266.0,1266.0,978.65665,978.66,979.0,True,1718068394557
259,24905645,0.773,308.28,308.3,308.0,238.30044,238.3,238.0,True,1718068394557
260,24905646,0.773,812.43,812.4,812.0,628.00839,628.01,628.0,True,1718068394557
261,24905647,0.773,1938.24,1938.2,1938.0,1498.25952,1498.26,1498.0,True,1718068394560
262,24905648,0.773,484.88,484.9,485.0,374.81224,374.81,375.0,True,1718068394560
263,24905649,0.773,12.91,12.9,13.0,9.97943,9.98,10.0,True,1718068394560
264,24905650,0.773,64.63,64.6,65.0,49.95899,49.96,50.0,True,1718068394560
265,24905651,0.773,154.14,154.1,154.0,119.15022,119.15,119.0,False,1718068394964
266,24905652,0.773,629.72,629.7,630.0,486.77356,486.77,487.0,False,1718068394964
267,24905653,0.773,1432.37,1432.4,1432.0,1107.22201,1107.22,1107.0,False,1718068394964
268,24905654,0.773,527.73,527.7,528.0,407.93529,407.94,408.0,False,1718068394964
269,24905655,0.773,1296.34,1296.3,1296.0,1002.07082,1002.07,1002.0,False,1718068394964
270,24905656,0.773,1488.69,1488.7,1489.0,1150.75737,1150.76,1151.0,False,1718068394964
271,24905657,0.773,286.01,286.0,286.0,221.08573,221.09,221.0,False,1718068394964
272,24905658,0.773,12.91,12.9,13.0,9.97943,9.98,10.0,False,1718068394968
273,24905659,0.773,1126.72,1126.7,1127.0,870.95456,870.95,871.0,False,1718068394976
274,24905660,0.773,1126.72,1126.7,1127.0,870.95456,870.95,871.0,True,1718068396881
275,24905661,0.773,154.14,154.1,154.0,119.15022,119.15,119.0,True,1718068396881
276,24905662,0.773,1123.8,1123.8,1124.0,868.6974,868.7,869.0,True,1718068396881
277,24905663,0.773,421.34,421.3,421.0,325.69582,325.7,326.0,True,1718068396881
278,24905664,0.773,106.39,106.4,106.0,82.23947,82.24,82.0,True,1718068396881
279,24905665,0.773,629.72,629.7,630.0,486.77356,486.77,487.0,True,1718068396881
280,24905666,0.773,313.89,313.9,314.0,242.63697,242.64,243.0,True,1718068396881
281,24905667,0.773,1945.19,1945.2,1945.0,1503.63187,1503.63,1504.0,True,1718068396883
282,24905668,0.773,77.07,77.1,77.0,59.57511,59.58,60.0,True,1718068396883
283,24905669,0.773,64.63,64.6,65.0,49.95899,49.96,50.0,True,1718068396883
284,24905670,0.773,12.91,12.9,13.0,9.97943,9.98,10.0,True,1718068396883
285,24905671,0.773,1263.09,1263.1,1263.0,976.36857,976.37,976.0,True,1718068396883
286,24905672,0.773,775.14,775.1,775.0,599.18322,599.18,599.0,True,1718068396883
287,24905673,0.773,2159.75,2159.8,2160.0,1669.48675,1669.49,1669.0,True,1718068396883
288,24905674,0.773,1075.8,1075.8,1076.0,831.5934,831.59,832.0,True,1718068396884
289,24905675,0.773,79.0,79.0,79.0,61.067,61.07,61.0,True,1718068396884
290,24905676,0.773,776.19,776.2,776.0,599.99487,599.99,600.0,True,1718068396884
291,24905677,0.773,1125.26,1125.3,1125.0,869.82598,869.83,870.0,False,1718068396915
292,24905678,0.773,629.72,629.7,630.0,486.77356,486.77,487.0,False,1718068396915
293,24905679,0.773,288.8,288.8,289.0,223.2424,223.24,223.0,False,1718068396915
294,24905680,0.773,1125.26,1125.3,1125.0,869.82598,869.83,870.0,False,1718068396915
295,24905681,0.773,2259.08,2259.1,2259.0,1746.26884,1746.27,1746.0,False,1718068396915
296,24905682,0.773,77.07,77.1,77.0,59.57511,59.58,60.0,False,1718068396915
297,24905683,0.773,1183.36,1183.4,1183.0,914.73728,914.74,915.0,False,1718068396915
298,24905684,0.773,527.73,527.7,528.0,407.93529,407.94,408.0,False,1718068396915
299,24905685,0.773,1000.0,1000.0,1000.0,773.0,773.0,773.0,False,1718068396915
300,24905686,0.773,8658.0,8658.0,8658.0,6692.634,6692.63,6693.0,False,1718068396915
301,24905687,0.773,300.49,300.5,300.0,232.27877,232.28,232.0,False,1718068396915
302,24905688,0.773,38.54,38.5,39.0,29.79142,29.79,30.0,False,1718068396915
303,24905689,0.773,12.91,12.9,13.0,9.97943,9.98,10.0,False,1718068396915
304,24905690,0.773,2261.59,2261.6,2262.0,1748.20907,1748.21,1748.0,False,1718068396915
305,24905691,0.773,278.0,278.0,278.0,214.894,214.89,215.0,False,1718068396915
306,24905692,0.774,23.35,23.4,23.0,18.0729,18.07,18.0,False,1718068424749
307,24905693,0.774,91.19,91.2,91.0,70.58106,70.58,71.0,False,1718068440741
308,24905694,0.774,200.94,200.9,201.0,155.52756,155.53,156.0,False,1718068442400
309,24905695,0.774,300.0,300.0,300.0,232.2,232.2,232.0,False,1718068442400
310,24905696,0.774,7.32,7.3,7.0,5.66568,5.67,6.0,False,1718068442400
311,24905697,0.774,47.71,47.7,48.0,36.92754,36.93,37.0,False,1718068442400
312,24905698,0.774,7.13,7.1,7.0,5.51862,5.52,6.0,False,1718068450697
